127.0.0.1 - - [13/Jan/2019:18:19:37 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 300 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:18:19:50 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 300 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:18:20:02 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 300 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:18:20:29 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 300 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:18:20:37 +0100] "POST /services/AuthenticationAdmin HTTP/1.1" 200 300 "-" "Axis2"
127.0.0.1 - - [13/Jan/2019:18:20:49 +0100] "GET /carbon/admin/logout_action.jsp HTTP/1.1" 302 - "https://localhost:9444/carbon/user/user-mgt.jsp?ordinal=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:20:49 +0100] "GET /carbon/admin/index.jsp HTTP/1.1" 302 - "https://localhost:9444/carbon/user/user-mgt.jsp?ordinal=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:20:49 +0100] "GET /carbon/admin/login.jsp HTTP/1.1" 200 3428 "https://localhost:9444/carbon/user/user-mgt.jsp?ordinal=1" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:20:49 +0100] "GET /carbon/admin/js/csrfPrevention.js HTTP/1.1" 200 3889 "https://localhost:9444/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:21:00 +0100] "POST /carbon/admin/login_action.jsp HTTP/1.1" 302 - "https://localhost:9444/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:21:00 +0100] "GET /carbon/admin/login.jsp?loginStatus=false HTTP/1.1" 200 3473 "https://localhost:9444/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:21:00 +0100] "GET /carbon/admin/js/csrfPrevention.js HTTP/1.1" 200 3889 "https://localhost:9444/carbon/admin/login.jsp?loginStatus=false" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:24:38 +0100] "POST /carbon/admin/login_action.jsp HTTP/1.1" 302 - "https://localhost:9444/carbon/admin/login.jsp?loginStatus=false" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:24:38 +0100] "GET /carbon/admin/index.jsp?loginStatus=true HTTP/1.1" 200 4505 "https://localhost:9444/carbon/admin/login.jsp?loginStatus=false" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:18:24:38 +0100] "GET /carbon/admin/js/csrfPrevention.js HTTP/1.1" 200 3889 "https://localhost:9444/carbon/admin/index.jsp?loginStatus=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
